company,rank,rank_change, revenue , profit , num. of employees ,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker, Market Cap 
Walmart,1,0," 523,964 "," 14,881 "," 2,200,000 ",Retailing,Bentonville,AR,no,no,no,yes,1,C. Douglas McMillon,https://www.stock.walmart.com,WMT," 411,690 "
Amazon,2,3," 280,522 "," 11,588 "," 798,000 ",Retailing,Seattle,WA,no,yes,no,yes,5,Jeffrey P. Bezos,https://www.amazon.com,AMZN," 1,637,405 "
Exxon Mobil,3,-1," 264,938 "," 14,340 "," 74,900 ",Energy,Irving,TX,no,no,no,yes,2,Darren W. Woods,https://www.exxonmobil.com,XOM," 177,923 "
Apple,4,-1," 260,174 "," 55,256 "," 137,000 ",Technology,Cupertino,CA,no,no,no,yes,3,Timothy D. Cook,https://www.apple.com,AAPL," 2,221,176 "
CVS Health,5,3," 256,776 "," 6,634 "," 290,000 ",Health Care,Woonsocket,RI,no,no,yes,yes,8,Karen S. Lynch,https://www.cvshealth.com,CVS," 98,496 "
Berkshire Hathaway,6,-2," 254,616 "," 81,417 "," 391,500 ",Financials,Omaha,NE,no,no,no,yes,4,Warren E. Buffett,https://www.berkshirehathaway.com,BRKA," 550,878 "
UnitedHealth Group,7,-1," 242,155 "," 13,839 "," 325,000 ",Health Care,Minnetonka,MN,no,no,no,yes,6,Andrew P. Witty,https://www.unitedhealthgroup.com,UNH," 332,885 "
McKesson,8,-1," 214,319 ", 34 ," 70,000 ",Health Care,Irving,TX,no,no,no,yes,7,Brian S. Tyler,https://www.mckesson.com,MCK," 29,570 "
AT&T,9,0," 181,193 "," 13,903 "," 247,800 ",Telecommunications,Dallas,TX,no,no,no,yes,9,John T. Stankey,https://www.att.com,T," 206,369 "
AmerisourceBergen,10,0," 179,589 ", 855 ," 21,500 ",Health Care,Chesterbrook,PA,no,no,no,yes,10,Steven H. Collis,https://www.amerisourcebergen.com,ABC," 21,246 "
Alphabet,11,4," 161,857 "," 34,343 "," 118,899 ",Technology,Mountain View,CA,no,no,no,yes,15,Sundar Pichai,https://www.abc.xyz,GOOGL," 1,274,139 "
Ford Motor,12,0," 155,900 ", 47 ," 190,000 ",Motor Vehicles & Parts,Dearborn,MI,no,no,no,yes,12,James D. Farley Jr.,https://www.ford.com,F," 26,297 "
Cigna,13,52," 153,566 "," 5,104 "," 73,700 ",Health Care,Bloomfield,CT,no,no,no,yes,65,David Cordani,https://www.cigna.com,CI," 60,335 "
Costco Wholesale,14,0," 152,703 "," 3,659 "," 201,500 ",Retailing,Issaquah,WA,no,no,no,yes,14,W. Craig Jelinek,https://www.costco.com,COST," 160,040 "
Chevron,15,-4," 146,516 "," 2,924 "," 48,200 ",Energy,San Ramon,CA,no,no,no,yes,11,Michael K. Wirth,https://www.chevron.com,CVX," 156,714 "
Cardinal Health,16,0," 145,534 "," 1,363 "," 49,500 ",Health Care,Dublin,OH,no,no,no,yes,16,Michael C. Kaufmann,https://www.cardinalhealth.com,CAH," 16,018 "
JPMorgan Chase,17,1," 142,422 "," 36,431 "," 256,981 ",Financials,New York,NY,no,no,no,yes,18,James Dimon,https://www.jpmorganchase.com,JPM," 414,465 "
General Motors,18,-5," 137,237 "," 6,732 "," 164,000 ",Motor Vehicles & Parts,Detroit,MI,no,no,yes,yes,13,Mary T. Barra,https://www.gm.com,GM," 79,953 "
Walgreens Boots Alliance,19,-2," 136,866 "," 3,982 "," 287,000 ",Food & Drug Stores,Deerfield,IL,no,no,no,yes,17,Stefano Pessina,https://www.walgreensbootsalliance.com,WBA," 41,552 "
Verizon Communications,20,-1," 131,868 "," 19,265 "," 135,000 ",Telecommunications,New York,NY,no,no,no,yes,19,Hans E. Vestberg,https://www.verizon.com,VZ," 236,948 "
Microsoft,21,5," 125,843 "," 39,240 "," 144,000 ",Technology,Redmond,WA,no,no,no,yes,26,Satya Nadella,https://www.microsoft.com,MSFT," 1,696,122 "
Marathon Petroleum,22,9," 124,813 "," 2,637 "," 60,910 ",Energy,Findlay,OH,no,no,no,yes,31,Michael J. Hennigan,https://www.marathonpetroleum.com,MPC," 24,840 "
Kroger,23,-3," 122,286 "," 1,659 "," 435,000 ",Food & Drug Stores,Cincinnati,OH,no,no,no,yes,20,W. Rodney McMullen,https://www.thekrogerco.com,KR," 25,178 "
Fannie Mae,24,-2," 120,304 "," 14,160 "," 7,500 ",Financials,Washington,DC,no,no,no,yes,22,Hugh R. Frater,https://www.fanniemae.com,FNMA," 11,350 "
Bank of America,25,0," 113,589 "," 27,430 "," 208,131 ",Financials,Charlotte,NC,no,no,no,yes,25,Brian T. Moynihan,https://www.bankofamerica.com,BAC," 279,768 "
Home Depot,26,1," 110,225 "," 11,242 "," 415,700 ",Retailing,Atlanta,GA,no,no,no,yes,27,Craig A. Menear,https://www.homedepot.com,HD," 295,312 "
